Время, сек;Rz_L, Н;Rz_R, Н;Rx, Н
8,03;21023,7;21778;650
8,04;21036,8;21790,7;650
8,05;21066;21656;650
8,06;21078,6;21569,7;650
8,07;21096,8;21711,2;650
8,08;21099,2;21694;650
8,09;21127,3;21567;650
8,1;21138,4;21562,2;650
8,11;21152;21655,5;650
8,12;21166,5;21596,3;650
8,13;21188,4;21491,1;650
8,14;21198,2;21512,8;650
8,15;21221,3;21546,2;650
8,16;21238,6;21524,8;650
8,17;21246;21472,2;650
8,18;21264;21456,3;650
8,19;21276,1;21410,8;650
8,2;21296,9;21412,1;650
8,21;21292,2;21426,5;650
8,22;21284,7;21408,6;650
8,23;21299,1;21362,5;650
8,24;21343,7;21281,3;650
8,25;21367,5;21340,8;650
8,26;21354,8;21329,8;650
8,27;21393,1;21271,2;650
8,28;21401;21273,9;650
8,29;21402,5;21260,9;650
8,3;21405,1;21170,4;650
8,31;21433,4;21238,2;650
8,32;21439,8;21196;650
8,33;21460,4;21164;650
8,34;21480,4;21143,8;650
8,35;21477,5;21136,8;650
8,36;21492,5;21120,6;650
8,37;21505,6;21097,8;650
8,38;21529,5;21068;650
8,39;21546,3;21067,5;650
8,4;21566,2;21044;650
8,41;21588,3;21036,6;650
8,42;21590,9;21005,9;650
8,43;21608,5;20999,1;650
8,44;21617,6;20983,5;650
8,45;21630,6;20965,7;650
8,46;21649,4;20960,7;650
8,47;21675,9;20943,8;650
8,48;21695;20927,8;650
8,49;21712,8;20920,7;650
8,5;21725,8;20899,8;650
8,51;21756;20894;650
8,52;21773,7;20878,3;650
8,53;21784,7;20867,5;650
8,54;21800,6;20861;650
8,55;21825,7;20840,8;650
8,56;21826,4;20831,5;650
8,57;21847,1;20817,2;650
8,58;21869,5;20805;650
8,59;21876,9;20792,7;650
8,6;21913,1;20793;650
8,61;21914,7;20775,6;650
8,62;21955,2;20774,5;650
8,63;21955;20764,3;650
8,64;21977,9;20756;650
8,65;21993,9;20740,1;650
8,66;21973,7;20727,6;650
8,67;22008,7;20722,8;650
8,68;22035,5;20711,7;650
8,69;22039,6;20707;650
8,7;22048,7;20703,2;650
8,71;22035;20695,5;650
8,72;22033,6;20678,6;650
8,73;22043,1;20674,2;650
8,74;22061,7;20672,8;650
8,75;22078,5;20667,5;650
8,76;22057,6;20665,4;650
8,77;22033,7;20655;650
8,78;22006,9;20644,7;650
8,79;22016,1;20644,1;650
8,8;22024,9;20647,3;650
8,81;22009,8;20637,6;650
8,82;21996,9;20617,1;650
8,83;22013,9;20637,4;650
8,84;21979,8;20641,6;650
8,85;21959,1;20637,2;650
8,86;21944,5;20613,2;650
8,87;21903,3;20614;650
8,88;21932,3;20606,3;650
8,89;21868;20623,4;650
